Ramapo,Moes,Interstate,Burlington/Modells,Garden State,Paramus Park,Care Plus,Fashion Center,Waldwick Medical,UG/Houlihans,Shannon Rose,Ramsey Square,Stateline,M/B,CPA,Overlook,Laurel Deck,Village,Bus Stop
9:00 AM,-,9:08 AM,9:20 AM,-,9:24 AM,9:28 AM,9:30 AM,-,-,-,9:40 AM,9:43 AM,-,-,-,-,-,9:56 AM
10:10 AM,-,10:18 AM,10:30 AM,-,10:34 AM,10:38 AM,10:40 AM,-,-,-,10:50 AM,10:53 AM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,11:06 AM
11:20 AM,-,11:28 AM,11:40 AM,-,11:44 AM,11:48 AM,11:50 AM,-,-,-,12:00,12:03 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,12:16 PM
12:25 PM,-,12:33 PM,-,-,-,-,-,-,-,-,12:37 PM,12:40 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,12:53 PM
2:15 PM,-,2:23 PM,2:35 PM,-,2:39 PM,2:43 PM,2:45 PM,-,-,-,2:55 PM,2:58 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,3:11 PM
3:30 PM,-,3:38 PM,3:50 PM,4:05 PM,4:20 PM,4:24 PM,4:26 PM,4:39 PM,-,-,-,-,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,4:57 PM
5:15 PM,5:23 PM,5:30 PM,5:42 PM,-,5:46 PM,5:50 PM,5:52 PM,6:03 PM,-,-,6:13 PM,6:16 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,6:29 PM
6:45 PM,6:53 PM,7:00 PM,7:12 PM,7:27 PM,7:42 PM,7:46 PM,7:48 PM,8:01 PM,8:11 PM,8:13 PM,8:15 PM,8:18 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,8:31 PM
8:45 PM,8:53 PM,9:00 PM,9:12 PM,9:27 PM,9:42 PM,-,9:48 PM,-,9:57 PM,9:59 PM,10:01 PM,10:04 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,10:17 PM
10:25 PM,-,10:33 PM,-,-,-,-,-,-,-,-,-,10:39 PM,Drop Only,Drop Only,Drop Only,Drop Only,Drop Only,10:52 PM
